,Core,Rim,Inv,Neg,Pos
NIPAL1,0.324712444,0.379884167,0.384694791,0.359366301,0.328766043
NIPAL2,2.809480996,3.229937173,3.508106423,1.737333777,1.55026811
NIPAL3,5.173239277,5.465552527,6.445466501,4.690162735,5.1976014
NIPBL,5.386293329,5.230426324,5.28829483,3.773681881,4.94479327
NIPSNAP1,6.74862714,6.729460812,6.658814183,4.998320562,4.370706961
NIPSNAP2,8.048854185,7.860386579,7.889678349,5.335644092,5.70265874
NISCH,7.055216554,7.096189605,7.238704794,5.587893686,5.688510016
NIT2,5.747786609,5.733688471,5.564364431,5.151796873,4.271632022
NKAIN1,3.700042922,3.989700241,4.033016168,2.93404033,2.79098956
NKAIN2,3.26676503,3.986232857,5.503772306,4.22147576,4.001393101
NKAP,5.136799814,5.124709683,5.012805652,3.633149421,3.223390968
NKAPP1,0.006047701,0.006548367,0,0,0.005904304
NKD1,4.12701081,4.283053401,4.545786158,3.596898613,2.730303108
NKD2,2.196222186,2.694082703,2.867736631,1.742012964,1.741780847
NKG7,2.766125422,3.169155704,2.122248986,4.861729959,2.864663329
NKPD1,1.323390668,1.245864646,1.046706605,0.434904639,0.303437405
NKRF,4.640379444,4.727307049,4.847029458,2.914216593,3.872456188
NKX1-2,0.305752861,0.371434399,0.567648853,0,0.358678897
NKX2-2,5.69446119,6.124601291,6.137638927,4.944804677,4.637255933
NKX2-3,0.163738234,0.195721567,0.071905183,0.015499592,0.228971331
NKX2-4,0.204467448,0.143142742,0.168188879,0.177575271,0.008715601
NKX2-5,2.5619881,2.855876164,1.974877361,1.091680715,1.11613408
NKX2-6,0,0.051512706,0,0,0.014953252
NKX2-8,0.324020044,0.448668216,0.850221611,0.507728199,0.461637829
NKX3-1,2.207763822,2.46262893,2.117548489,1.58942319,1.649453295
NKX3-2,2.254833644,2.210430382,1.690758417,0.759155139,1.550179731
NKX6-1,2.218140469,2.372312445,1.741771782,1.079882928,0.950026048
NKX6-2,5.511065433,6.776566163,7.525886377,7.794784145,8.565253562
